ED,CANDIDATE,PARTY,VOTES,YEAR,RACE
ELL 029,Byron W. Brown,Independence,2,2013,Mayor
ELL 029,Byron W. Brown,Working Families,1,2013,Mayor
ELL 029,Sergio R. Rodriguez,Progressive,2,2013,Mayor
ELL 029,Sergio R. Rodriguez,Republican,20,2013,Mayor
ELL 029,"Blank, Void & Scattering                                                                     ",n/a,12,2015,County Executive
ELL 029,Eric Jones,Green,1,2015,County Executive
ELL 029,Mark C. Poloncarz,Democratic,147,2015,County Executive
ELL 029,Mark C. Poloncarz,Working Families,5,2015,County Executive
ELL 029,Mark C. Poloncarz,Women's Equality,0,2015,County Executive
ELL 029,Raymond W. Walter,Republican,5,2015,County Executive
ELL 029,Raymond W. Walter,Independence,1,2015,County Executive
ELL 029,Raymond W. Walter,Reform,0,2015,County Executive
ELL 029,Raymond W. Walter,Conservative,1,2015,County Executive
ELL 029,"Blank, Void, & Scattering",n/a,5,2016,President
ELL 029,Donald J Trump/ Michael R Pence,Republican,31,2016,President
ELL 029,Donald J Trump/ Michael R Pence,Conservative,3,2016,President
ELL 029,Gary Johnson/ Bill Weld,Independence,4,2016,President
ELL 029,Gary Johnson/ Bill Weld,Libertarian,3,2016,President
ELL 029,Hillary Clinton/ Tim Kaine,Women's Equality,2,2016,President
ELL 029,Hillary Clinton/ Tim Kaine,Working Families,0,2016,President
ELL 029,Hillary Clinton/ Tim Kaine,Democratic,547,2016,President
ELL 029,Jill Stein/ Ajamu Baraka,Green,6,2016,President
ELL 029,"President, Write In",n/a,2,2016,President
ELL 029,Anita L Howard,Conservative,4,2017,Mayor
ELL 029,"Blank, Void & Scattering                                                                     ",n/a,14,2017,Mayor
ELL 029,Byron W Brown,Democratic,215,2017,Mayor
ELL 029,Byron W Brown,Independence,1,2017,Mayor
ELL 029,Byron W Brown,Women's Equality,1,2017,Mayor
ELL 029,Byron W Brown,Working Families,2,2017,Mayor
ELL 029,Mark J F Schroeder,Reform,17,2017,Mayor
ELL 029,Taniqua Simmons,Write-In,0,2017,Mayor
ELL 029,Terrence A Robinson,Green,3,2017,Mayor
ELL 029,"Blank, Void, & Scattering",n/a,32,2018,Senate
ELL 029,Chele Chiavacci Farley,Conservative,4,2018,Senate
ELL 029,Chele Chiavacci Farley,Reform,0,2018,Senate
ELL 029,Chele Chiavacci Farley,Republican,20,2018,Senate
ELL 029,Kirsten E Gillibrand,Democratic,399,2018,Senate
ELL 029,Kirsten E Gillibrand,Independence,3,2018,Senate
ELL 029,Kirsten E Gillibrand,Women's Equality,2,2018,Senate
ELL 029,Kirsten E Gillibrand,Working Families,11,2018,Senate
ELL 029,Andrew M Cuomo/ Kathy C Hochul,Democratic,406,2018,Governor
ELL 029,Andrew M Cuomo/ Kathy C Hochul,Independence,2,2018,Governor
ELL 029,Andrew M Cuomo/ Kathy C Hochul,Working Families,8,2018,Governor
ELL 029,Andrew M Cuomo/ Kathy C Hochul,Women's Equality,1,2018,Governor
ELL 029,"Blank, Void, & Scattering",n/a,14,2018,Governor
ELL 029,Howie Hawkins/ Jia Lee,Green,6,2018,Governor
ELL 029,Larry Sharpe/ Andrew C Hollister,Libertarian,3,2018,Governor
ELL 029,Marc Molinaro/ Julie Killian,Conservative,4,2018,Governor
ELL 029,Marc Molinaro/ Julie Killian,Reform,0,2018,Governor
ELL 029,Marc Molinaro/ Julie Killian,Republican,23,2018,Governor
ELL 029,Stephanie A Miner/ Michael J Volpe,SAM,4,2018,Governor
ELL 029,"Blank, Void, & Scattering",n/a,33,2019,Legislature
ELL 029,Howard J. Johnson Jr.,Democratic,171,2019,Legislature
ELL 029,Katrinna Martin,Working Families,17,2019,Legislature
ELL 029,Tara Craig,Write-In,0,2019,Legislature
ELL 029,"Blank, Void, & Scattering",n/a,12,2019,County Executive
ELL 029,Lynne Dixon,Conservative,7,2019,County Executive
ELL 029,Lynne Dixon,Independence,2,2019,County Executive
ELL 029,Lynne Dixon,Republican,10,2019,County Executive
ELL 029,Lynne Dixon,SAM,0,2019,County Executive
ELL 029,Mark C. Poloncarz,Democratic,189,2019,County Executive
ELL 029,Mark C. Poloncarz,Working Families,1,2019,County Executive
ELL 029,Barbara Miller-Williams,Democratic,183,2019,Comptroller
ELL 029,Barbara Miller-Williams,Independence,5,2019,Comptroller
ELL 029,Barbara Miller-Williams,Working Families,5,2019,Comptroller
ELL 029,"Blank, Void, & Scattering",n/a,20,2019,Comptroller
ELL 029,Ross M. Kostecky,Republican,8,2019,Comptroller
ELL 029,"Blank, Void & Scattering                                                                     ",n/a,11,2020,President
ELL 029,Brock Pierce/Karla Ballard,Independence,2,2020,President
ELL 029,Donald J. Trump/Michael R. Pence,Conservative,5,2020,President
ELL 029,Donald J. Trump/Michael R. Pence,Republican,41,2020,President
ELL 029,Howie Hawkins/Angela Nicole Walker,Green,0,2020,President
ELL 029,Jo Jorgensen/Jeremy Cohen,Libertarian,1,2020,President
ELL 029,Joseph R. Biden/Kamala D. Harris,Democratic,567,2020,President
ELL 029,Joseph R. Biden/Kamala D. Harris,Working Families,16,2020,President
ELL 029,"President, Write in",n/a,2,2020,President
ELL 029,"Blank, Void, Scattering",n/a,29,2020,Congress
ELL 029,Brian Higgins,SAM,1,2020,Congress
ELL 029,Brian Higgins,Working Families,21,2020,Congress
ELL 029,Brian Higgins,Democratic,541,2020,Congress
ELL 029,Michael P. Raleigh,Green,9,2020,Congress
ELL 029,Ricky T. Donovan Sr.,Republican,44,2020,Congress
ELL 029,"Blank, Void, Scattering",n/a,23,2021,Sheriff
ELL 029,John C. Garcia,Back the Blue/Guardian,2,2021,Sheriff
ELL 029,John C. Garcia,Republican,32,2021,Sheriff
ELL 029,Karen L. Healy-Case,Conservative,2,2021,Sheriff
ELL 029,Kimberly Beaty,Democratic,296,2021,Sheriff
ELL 029,Kimberly Beaty,Justice & Peace,9,2021,Sheriff
ELL 029,Theodore C. DiNoto,Public Service,7,2021,Sheriff
ELL 029,Ben Carlisle,Write-In,0,2021,Mayor
ELL 029,"Blank, Void, and Scattering",n/a,7,2021,Mayor
ELL 029,Byron Brown,Write-In,186,2021,Mayor
ELL 029,India B. Walton,Democratic,178,2021,Mayor
ELL 029,Jaz Miles,Write-In,0,2021,Mayor
ELL 029,William O'Dell,Write-In,0,2021,Mayor
ELL 029,"Blank, Void, Scattering",n/a,75,2021,Comptroller
ELL 029,Duane J. Whitmer,Libertarian,3,2021,Comptroller
ELL 029,Kevin R. Hardwick,Democratic,230,2021,Comptroller
ELL 029,Kevin R. Hardwick,Working Families/Integrity,23,2021,Comptroller
ELL 029,Lynne Dixon,Republican,31,2021,Comptroller
ELL 029,Lynne Dixon,Conservative,9,2021,Comptroller
ELL 029,"Blank, Void, Scattering",n/a,10,2022,Senate
ELL 029,Charles E. Schumer,Working Families,25,2022,Senate
ELL 029,Charles E. Schumer,Democratic,315,2022,Senate
ELL 029,Diane Sare,LaRouche,0,2022,Senate
ELL 029,Joe Pinion,Conservative,10,2022,Senate
ELL 029,Joe Pinion,Republican,28,2022,Senate
ELL 029,"Blank, Void, Scattering",n/a,12,2022,Governor
ELL 029,Kathy C. Hochul / Antonio Delgado,Democratic,313,2022,Governor
ELL 029,Kathy C. Hochul / Antonio Delgado,Working Families,22,2022,Governor
ELL 029,Lee Zeldin / Alison Esposito,Conservative,8,2022,Governor
ELL 029,Lee Zeldin / Alison Esposito,Republican,33,2022,Governor
ELL 029,"Blank, Void, Scattering",n/a,13,2022,Congress
ELL 029,Brian Higgins,Working Families,26,2022,Congress
ELL 029,Brian Higgins,Democratic,317,2022,Congress
ELL 029,Steven L. Sams II,Conservative,8,2022,Congress
ELL 029,Steven L. Sams II,Republican,24,2022,Congress
ELL 029,"Blank, Void, Scattering",n/a,28,2022,Comptroller
ELL 029,Paul Rodriguez,Conservative,12,2022,Comptroller
ELL 029,Paul Rodriguez,Republican,31,2022,Comptroller
ELL 029,Thomas P. DiNapoli,Working Families,24,2022,Comptroller
ELL 029,Thomas P. DiNapoli,Democratic,293,2022,Comptroller
ELL 030,YES,n/a,17,2002,Proposition
ELL 030,NO,n/a,153,2002,Proposition
ELL 030,"Blank, Void & Scattering",n/a,87,2002,Proposition
ELL 030," Blank, Void & Scattering                                                                     ",n/a,50,2005,Mayor
ELL 030,Byron W. Brown,Democrat,221,2005,Mayor
ELL 030,Byron W. Brown                                                         ,Working Families,12,2005,Mayor
ELL 030,Charles J. Flynn,Independence,2,2005,Mayor
ELL 030,Judith S. Einach                                             ,Green,1,2005,Mayor
ELL 030,Kevin J. Helfer,Republican/Strong Leadership,10,2005,Mayor
ELL 030,Kevin J. Helfer,Conservative,0,2005,Mayor
ELL 030,Barack Obama/Joe Biden,Democratic,339,2008,President
ELL 030,Barack Obama/Joe Biden,Working Families,6,2008,President
ELL 030,"Blank, Void & Scattering                                                                     ",n/a,8,2008,President
ELL 030,Bob Barr/Wayne A. Root,Libertarian,0,2008,President
ELL 030,Cynthia McKinney/Rosa Clemente,Green,0,2008,President
ELL 030,Gloria LaRiva/Eugene Puryear,Socialism & Liberation,0,2008,President
ELL 030,John McCain/Sarah Palin,Conservative,0,2008,President
ELL 030,John McCain/Sarah Palin,Independence,0,2008,President
ELL 030,John McCain/Sarah Palin,Republican,10,2008,President
ELL 030,"President, Write In",n/a,0,2008,President
ELL 030,Ralph Nader/Matt Gonzalez,Populist,0,2008,President
ELL 030,Roger Calero/Alyson Kennedy,Socialist Workers,0,2008,President
ELL 030," Blank, Void & Scattering                                                                     ",n/a,8,2009,Mayor
ELL 030,Byron W. Brown,Democratic,102,2009,Mayor
ELL 030,Byron W. Brown,Independence,1,2009,Mayor
ELL 030,Byron W. Brown                                                                 ,Working Families,2,2009,Mayor
ELL 030,Byron W. Brown,Conservative,2,2009,Mayor
ELL 030,"Blank, Void & Scattering                                                                     ",n/a,14,2011,County Executive
ELL 030,Chris Collins,Conservative,4,2011,County Executive
ELL 030,Chris Collins,Independence,3,2011,County Executive
ELL 030,Chris Collins,Republican,9,2011,County Executive
ELL 030,Mark C. Poloncarz,Democratic,163,2011,County Executive
ELL 030,Mark C. Poloncarz,Working Families,7,2011,County Executive
ELL 030,Barack Obama/Joe Biden,Democratic,260,2012,President
ELL 030,Barack Obama/Joe Biden,Working Families,1,2012,President
ELL 030,"Blank, Void & Scattering                                                                     ",n/a,2,2012,President
ELL 030,Gary Johnson/James P. Gray,Libertarian,0,2012,President
ELL 030,Jill Stein/Cheri Honkala,Green,0,2012,President
ELL 030,Mitt Romney/Paul Ryan,Conservative,0,2012,President
ELL 030,Mitt Romney/Paul Ryan,Republican,1,2012,President
ELL 030,Peta Lindsay/Yari Osorio,Socialism and Lib,0,2012,President
ELL 030,"President, Write In",n/a,0,2012,President
ELL 030,Virgil Goode/Jim Clymer,Constitution,0,2012,President
ELL 030,"Blank, Void & Scattering                                                                     ",n/a,3,2013,Mayor
ELL 030,Byron W. Brown,Conservative,0,2013,Mayor
ELL 030,Byron W. Brown,Democratic,86,2013,Mayor
ELL 030,Byron W. Brown,Independence,0,2013,Mayor
ELL 030,Byron W. Brown,Working Families,0,2013,Mayor
ELL 030,Sergio R. Rodriguez,Progressive,1,2013,Mayor
ELL 030,Sergio R. Rodriguez,Republican,5,2013,Mayor
ELL 030,"Blank, Void & Scattering                                                                     ",n/a,14,2015,County Executive
ELL 030,Eric Jones,Green,0,2015,County Executive
ELL 030,Mark C. Poloncarz,Democratic,47,2015,County Executive
ELL 030,Mark C. Poloncarz,Working Families,1,2015,County Executive
ELL 030,Mark C. Poloncarz,Women's Equality,1,2015,County Executive
ELL 030,Raymond W. Walter,Republican,1,2015,County Executive
ELL 030,Raymond W. Walter,Independence,0,2015,County Executive
ELL 030,Raymond W. Walter,Reform,0,2015,County Executive
ELL 030,Raymond W. Walter,Conservative,0,2015,County Executive
ELL 030,"Blank, Void, & Scattering",n/a,2,2016,President
ELL 030,Donald J Trump/ Michael R Pence,Republican,2,2016,President
ELL 030,Donald J Trump/ Michael R Pence,Conservative,0,2016,President
ELL 030,Gary Johnson/ Bill Weld,Independence,1,2016,President
ELL 030,Gary Johnson/ Bill Weld,Libertarian,0,2016,President
ELL 030,Hillary Clinton/ Tim Kaine,Women's Equality,0,2016,President
ELL 030,Hillary Clinton/ Tim Kaine,Working Families,3,2016,President
ELL 030,Hillary Clinton/ Tim Kaine,Democratic,203,2016,President
ELL 030,Jill Stein/ Ajamu Baraka,Green,2,2016,President
ELL 030,"President, Write In",n/a,0,2016,President
ELL 030,Anita L Howard,Conservative,1,2017,Mayor
ELL 030,"Blank, Void & Scattering                                                                     ",n/a,7,2017,Mayor
ELL 030,Byron W Brown,Democratic,70,2017,Mayor
ELL 030,Byron W Brown,Independence,0,2017,Mayor
ELL 030,Byron W Brown,Women's Equality,0,2017,Mayor
ELL 030,Byron W Brown,Working Families,1,2017,Mayor
ELL 030,Mark J F Schroeder,Reform,5,2017,Mayor
ELL 030,Taniqua Simmons,Write-In,0,2017,Mayor
ELL 030,Terrence A Robinson,Green,0,2017,Mayor
ELL 030,"Blank, Void, & Scattering",n/a,14,2018,Senate
ELL 030,Chele Chiavacci Farley,Conservative,0,2018,Senate
ELL 030,Chele Chiavacci Farley,Reform,0,2018,Senate
ELL 030,Chele Chiavacci Farley,Republican,2,2018,Senate
ELL 030,Kirsten E Gillibrand,Democratic,124,2018,Senate
ELL 030,Kirsten E Gillibrand,Independence,2,2018,Senate
ELL 030,Kirsten E Gillibrand,Women's Equality,0,2018,Senate
ELL 030,Kirsten E Gillibrand,Working Families,1,2018,Senate
ELL 030,Andrew M Cuomo/ Kathy C Hochul,Democratic,130,2018,Governor
ELL 030,Andrew M Cuomo/ Kathy C Hochul,Independence,1,2018,Governor
ELL 030,Andrew M Cuomo/ Kathy C Hochul,Working Families,1,2018,Governor
ELL 030,Andrew M Cuomo/ Kathy C Hochul,Women's Equality,2,2018,Governor
ELL 030,"Blank, Void, & Scattering",n/a,6,2018,Governor
ELL 030,Howie Hawkins/ Jia Lee,Green,1,2018,Governor
ELL 030,Larry Sharpe/ Andrew C Hollister,Libertarian,0,2018,Governor
ELL 030,Marc Molinaro/ Julie Killian,Conservative,0,2018,Governor
ELL 030,Marc Molinaro/ Julie Killian,Reform,0,2018,Governor
ELL 030,Marc Molinaro/ Julie Killian,Republican,2,2018,Governor
ELL 030,Stephanie A Miner/ Michael J Volpe,SAM,0,2018,Governor
ELL 030,"Blank, Void, & Scattering",n/a,8,2019,Legislature
ELL 030,Howard J. Johnson Jr.,Democratic,38,2019,Legislature
ELL 030,Katrinna Martin,Working Families,4,2019,Legislature
ELL 030,Tara Craig,Write-In,0,2019,Legislature
ELL 030,"Blank, Void, & Scattering",n/a,5,2019,County Executive
ELL 030,Lynne Dixon,Conservative,0,2019,County Executive
ELL 030,Lynne Dixon,Independence,0,2019,County Executive
ELL 030,Lynne Dixon,Republican,1,2019,County Executive
ELL 030,Lynne Dixon,SAM,0,2019,County Executive
ELL 030,Mark C. Poloncarz,Democratic,44,2019,County Executive
ELL 030,Mark C. Poloncarz,Working Families,0,2019,County Executive
ELL 030,Barbara Miller-Williams,Democratic,44,2019,Comptroller
ELL 030,Barbara Miller-Williams,Independence,0,2019,Comptroller
ELL 030,Barbara Miller-Williams,Working Families,0,2019,Comptroller
ELL 030,"Blank, Void, & Scattering",n/a,6,2019,Comptroller
ELL 030,Ross M. Kostecky,Republican,0,2019,Comptroller
ELL 030,"Blank, Void & Scattering                                                                     ",n/a,0,2020,President
ELL 030,Brock Pierce/Karla Ballard,Independence,0,2020,President
ELL 030,Donald J. Trump/Michael R. Pence,Conservative,0,2020,President
ELL 030,Donald J. Trump/Michael R. Pence,Republican,2,2020,President
ELL 030,Howie Hawkins/Angela Nicole Walker,Green,0,2020,President
ELL 030,Jo Jorgensen/Jeremy Cohen,Libertarian,0,2020,President
ELL 030,Joseph R. Biden/Kamala D. Harris,Democratic,180,2020,President
ELL 030,Joseph R. Biden/Kamala D. Harris,Working Families,6,2020,President
ELL 030,"President, Write in",n/a,0,2020,President
ELL 030,"Blank, Void, Scattering",n/a,9,2020,Congress
ELL 030,Brian Higgins,SAM,0,2020,Congress
ELL 030,Brian Higgins,Working Families,11,2020,Congress
ELL 030,Brian Higgins,Democratic,167,2020,Congress
ELL 030,Michael P. Raleigh,Green,0,2020,Congress
ELL 030,Ricky T. Donovan Sr.,Republican,1,2020,Congress
ELL 030,"Blank, Void, Scattering",n/a,8,2021,Sheriff
ELL 030,John C. Garcia,Back the Blue/Guardian,0,2021,Sheriff
ELL 030,John C. Garcia,Republican,1,2021,Sheriff
ELL 030,Karen L. Healy-Case,Conservative,0,2021,Sheriff
ELL 030,Kimberly Beaty,Democratic,66,2021,Sheriff
ELL 030,Kimberly Beaty,Justice & Peace,0,2021,Sheriff
ELL 030,Theodore C. DiNoto,Public Service,0,2021,Sheriff
ELL 030,Ben Carlisle,Write-In,0,2021,Mayor
ELL 030,"Blank, Void, and Scattering",n/a,1,2021,Mayor
ELL 030,Byron Brown,Write-In,33,2021,Mayor
ELL 030,India B. Walton,Democratic,41,2021,Mayor
ELL 030,Jaz Miles,Write-In,0,2021,Mayor
ELL 030,William O'Dell,Write-In,0,2021,Mayor
ELL 030,"Blank, Void, Scattering",n/a,19,2021,Comptroller
ELL 030,Duane J. Whitmer,Libertarian,1,2021,Comptroller
ELL 030,Kevin R. Hardwick,Democratic,51,2021,Comptroller
ELL 030,Kevin R. Hardwick,Working Families/Integrity,2,2021,Comptroller
ELL 030,Lynne Dixon,Republican,1,2021,Comptroller
ELL 030,Lynne Dixon,Conservative,1,2021,Comptroller
ELL 030,"Blank, Void, Scattering",n/a,6,2022,Senate
ELL 030,Charles E. Schumer,Working Families,3,2022,Senate
ELL 030,Charles E. Schumer,Democratic,73,2022,Senate
ELL 030,Diane Sare,LaRouche,0,2022,Senate
ELL 030,Joe Pinion,Conservative,1,2022,Senate
ELL 030,Joe Pinion,Republican,1,2022,Senate
ELL 030,"Blank, Void, Scattering",n/a,3,2022,Governor
ELL 030,Kathy C. Hochul / Antonio Delgado,Democratic,78,2022,Governor
ELL 030,Kathy C. Hochul / Antonio Delgado,Working Families,1,2022,Governor
ELL 030,Lee Zeldin / Alison Esposito,Conservative,1,2022,Governor
ELL 030,Lee Zeldin / Alison Esposito,Republican,1,2022,Governor
ELL 030,"Blank, Void, Scattering",n/a,7,2022,Congress
ELL 030,Brian Higgins,Working Families,2,2022,Congress
ELL 030,Brian Higgins,Democratic,74,2022,Congress
ELL 030,Steven L. Sams II,Conservative,1,2022,Congress
ELL 030,Steven L. Sams II,Republican,0,2022,Congress
ELL 030,"Blank, Void, Scattering",n/a,13,2022,Comptroller
ELL 030,Paul Rodriguez,Conservative,2,2022,Comptroller
ELL 030,Paul Rodriguez,Republican,0,2022,Comptroller
ELL 030,Thomas P. DiNapoli,Working Families,2,2022,Comptroller
ELL 030,Thomas P. DiNapoli,Democratic,67,2022,Comptroller
ELL 031,YES,n/a,12,2002,Proposition
ELL 031,NO,n/a,64,2002,Proposition
